,Company,Location,Salary,Summary,Title,Job Category
588,Natera,Remote,Not available,"The Natera team consists of highly dedicated statisticians, geneticists, doctors, laboratory scientists, business professionals, software engineers and many...",Xifin Billing System Support Coordinator,Other
590,Baylor College of Medicine,"Houston, TX",Not available,Writing of data analysis plans for grant applications and other statistical approaches depending on the needs of the CNRC faculty and the expertise of the...,Assistant Professor,Other
592,Rakuten Aspyrian,"San Mateo, CA 94402 (Beresford area)",Not available,"As the Senior Statistical Programmer, you will work closely with colleagues (Medical, Clinical Scientists, Statisticians, Project Management, Medical Writing,...",Senior Statistical Programmer,Other
598,VA Maryland Health Care System (VAMHCS),"Perry Point, MD 21902","$94,000 - $106,000 a year","Level Biostatistician/Statistician to work as lead statistician on CSP sponsored clinical studies and multisite, randomized clinical trials....",Senior Biostatistician,Other
602,Natera,"Newark, NJ 07105",Not available,"The Natera team consists of highly dedicated statisticians, geneticists, doctors, laboratory scientists, business professionals, software engineers and many...",Account Support Representative,Other
604,Highmark Health,"Pittsburgh, PA 15289 (Central Business District area)",Not available,Provides independent review of project work produced by other statisticians in the department. This job will act as the lead statistician for multiple projects...,Medicine Institute Biostatistician,Other
606,Atara Biotherapeutics,"Los Angeles, CA",Not available,Works in coordination with statisticians and programmer/analysts. We launched Atara Biotherapeutics in August 2012 to help patients with serious diseases and...,SAS Programmer - Clinical Data Management,Other
608,SpringWorks Therapeutics,"Durham, NC",Not available,"Oncology) and will work with team members on the design of clinical studies including providing statistical methodology, reviewing protocols, developing the...",Biostatistician,Other
609,Katalyst Healthcares & Life Sciences,"Alapocas, DE",Not available,This requirement may be waived for research oriented statisticians with demonstrated capabilities of developing and implementing new statistical methods....,Sr. Biostatistician,Other
611,Natera,Remote,Not available,"The Natera team consists of highly dedicated statisticians, geneticists, doctors, laboratory scientists, business professionals, software engineers and many...","Vice President, Oncology Sales",Other
618,SAS Institute,"Cary, NC",Not available,"Open to doctoral candidates in statistics, biostatistics and related graduate departments in the United States, this fellowship offers the opportunity to work...",Statistical Summer Fellowship 2019 (PhD Candidates),Other
622,JP Morgan Chase,"New York, NY 10017 (Midtown area)",Not available,"We are an intellectually diverse team of statisticians, economists, and other analytics professionals, focused on statistical modeling and optimization within...","CCB - Deposit Modeling Team - Price Optimization, Vice Presi...",Other
623,University of Florida,"Jacksonville, FL",Not available,"The department also boasts of invaluable academic resources including large patient base, data manager, clinical trial nurse, dedicated statistician, academic...",ANDROLOGIST,Other
627,University of Massachusetts Medical School,"Worcester, MA",Not available,Analyze data in collaboration with senior statisticians beginning with univariate and multivariate analyses such as logistic regression and factor analysis for...,"Biostatistician, Ii",Other
628,Cincinnati Children's Hospital,"Cincinnati, OH 45229 (North Avondale area)",Not available,"Work on large-scale multi-disciplinary research projects in collaboration with statisticians, biologists and clinicians. Analyst and Sr....",Human Genetics Analyst-Bioinformatics (Dr. Hestand),Other
629,EMMES,"Rockville, MD 20850",Not available,The SAS Programmer collaborates with statisticians and data management staff to provide programming support for clinical research studies....,Senior SAS Programmer,Other
631,JP Morgan Chase,"Wilmington, DE 19801",Not available,"Data scientist, statistician, and related professions) in a quantitative field:. Strategic Business Analysis Sr Associate....",Strategic Business Analysis II/Associate - Business Planning...,Other
632,MaxisIT Inc,"Metuchen, NJ 08840",Not available,"Clinical requistions like Medical Writers, Clinical research Associates, Drug Safety Professionals, SAS programmers, Statisticians, Statistical Programmers,...",Clinical/Technical Recruiter,Other
637,Opinion Dynamics Corporation,"San Francisco Bay Area, CA",Not available,"Our ideal candidate is someone who is just as comfortable using the left-side of the brain as the right, enjoys a challenge, relishes learning new things, and...",CONSULTANT,Other
640,Olivet Nazarene University,"Bourbonnais, IL 60914",Not available,"Interns, student workers, contract employees, video/film/audio crews, photographers, and statisticians. The Graduate Assistant for Sports Information will...",Graduate Assistant - Sports Information Office,Other
646,Pharmapace,"San Diego, CA",Not available,Maintain efficient interfaces with internal and external customers and vendors with support of the collaborating statisticians....,Senior Analyst I,Other
651,The Henry M. Jackson Foundation,"Rockville, MD 20852",Not available,"Work with leadership, program staff, CNRM statisticians, and program investigators to achieve the goals of the research program. Join the HJF Team!...",Biostatistician (Clinical Trials),Other
652,"Rakuten Aspyrian, Inc.","San Mateo, CA",Not available,"As the Senior Statistical Programmer, you will work closely with colleagues (Medical, Clinical Scientists, Statisticians, Project Management, Medical Writing,...",Senior Statistical Programmer,Other
656,EPM SCIENTIFIC,"San Francisco, CA","$150,000 - $170,000 a year","Statisticians part take in world-class methodological research. Statisticians work hand in hand with clinical pharmacology modeling and simulation, epidemiology...",Principal Biostatistician,Other
659,Katalyst Healthcares & Life Sciences,"South Plainfield, NJ 07080",Not available,The senior programmer will partner with statisticians to solve problems; Provide technical consultation and analytical support to early development...,Senior Statistical Programmer,Other
660,KBRWyle,"Houston, TX",Not available,Biostatistician (Johnson Space Center)-1070342 The primary function of this position is to provide biostatistical consultant services to personnel supporting...,Biostatistician (Johnson Space Center),Other
